case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,vehicle_assisted_theft,helmet_concealment_indicator,victim_walking_alone_indicator,victim_approached_from_behind,physical_force_used,stolen_physical_asset_count,stolen_asset_recovered,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_356,ipc_392,ipc_411,ipc_448,ipc_380,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100005,High Court,Sec 482 CrPC (Quashing),1,3,2,0,1,0,0,1,0,1,0.74,1,169,0,0,0.1123,6,1.2558,139.53,3516.75,0.1182,1,1,0,1,0,3,0,0,0,1,0,0,1,0,0,2,0.0987,0.0899,2,1,0
NCRB-SYNTH-100006,Trial Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,0,0,1,0,1,0.5424,1,33,1,1,0.0,1,1.1234,116.53,41788.18,0.1944,1,1,0,1,0,2,1,0,0,1,1,1,0,0,1,2,0.0231,0.021,2,1,0
NCRB-SYNTH-100007,Trial Court,Sec 482 CrPC (Quashing),4,3,2,0,1,1,1,1,0,1,0.702,1,95,1,0,0.0522,7,1.0333,131.24,31127.56,0.0233,1,1,1,1,0,2,0,0,0,1,1,0,1,0,1,1,0.0126,0.0182,0,1,0
NCRB-SYNTH-100011,Trial Court,Sec 482 CrPC (Quashing),2,5,1,0,1,0,0,1,0,0,0.5955,1,22,1,1,0.0955,3,1.3934,93.87,29394.3,0.0111,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,2,0.0282,0.0257,2,0,0
NCRB-SYNTH-100015,Trial Court,Sec 439 CrPC (Regular Bail),1,1,1,0,1,0,0,1,0,1,0.8111,0,53,0,0,0.0281,3,1.0252,175.83,29403.59,0.1607,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,2,0.0994,0.0905,2,1,0
NCRB-SYNTH-100016,High Court,Trial Judgment,1,1,1,0,1,0,0,1,0,0,0.7768,1,73,0,0,0.112,4,1.0889,42.38,6387.03,0.1688,1,1,1,1,1,2,0,0,0,1,1,1,0,0,0,3,0.0884,0.0638,2,1,0
NCRB-SYNTH-100022,Trial Court,Writ Petition (Detention),1,5,1,0,1,1,0,1,0,1,0.6758,1,113,0,1,0.1425,5,1.1122,154.4,28201.51,0.0737,1,1,1,1,1,3,0,0,0,1,0,0,0,0,1,4,0.0264,0.0164,2,1,0
NCRB-SYNTH-100027,High Court,Trial Judgment,1,1,2,0,1,1,1,1,0,0,0.565,1,174,0,0,0.0386,9,1.0507,60.07,10976.9,0.0618,1,0,1,1,1,4,1,1,1,0,0,1,1,0,1,2,0.0263,0.0239,2,0,0
NCRB-SYNTH-100030,Trial Court,Sec 439 CrPC (Regular Bail),1,4,2,0,1,1,0,1,0,0,0.9006,1,177,0,0,0.112,5,1.1387,157.42,11339.31,0.1981,1,0,1,1,1,3,0,1,1,0,1,0,0,1,0,3,0.0497,0.0358,2,0,1
NCRB-SYNTH-100032,High Court,Sec 439 CrPC (Regular Bail),1,5,1,0,1,0,1,1,0,0,0.682,1,166,0,0,0.1082,1,1.0,161.59,8536.64,0.0104,1,0,1,1,1,2,0,1,1,0,0,0,1,0,0,3,0.0703,0.0507,2,0,1
NCRB-SYNTH-100033,Trial Court,Sec 482 CrPC (Quashing),1,3,2,0,1,0,1,1,0,0,0.6822,1,105,0,0,0.0757,2,1.3224,84.06,27683.78,0.0357,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0.0382,0.0551,2,1,0
NCRB-SYNTH-100038,High Court,Sec 482 CrPC (Quashing),2,1,2,0,1,0,1,1,0,0,0.6918,1,75,1,1,0.0981,6,1.0,62.01,23615.96,0.0034,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,3,0.0914,0.0659,2,1,0
NCRB-SYNTH-100041,Trial Court,Trial Judgment,4,2,1,0,1,0,1,1,0,0,0.8895,1,13,0,0,0.0153,4,1.0,156.21,43701.66,0.1169,1,0,1,1,0,4,1,0,0,1,1,0,1,0,0,4,0.0303,0.0189,2,1,0
