case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,financial_fraud_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,social_engineering_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,it_act_66d,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_411,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100014,Trial Court,Writ Petition (Detention),4,1,1,0,1,1,0,1,1,1,1,0,0.5965,1,70,1,1,0.0927,6,1.1681,78.77,1,55679.19,0.1061,0,0,1,1,4,0.0815,0.0507,2,1,0
NCRB-SYNTH-100017,High Court,Sec 482 CrPC (Quashing),1,3,1,0,1,1,1,0,1,1,1,0,0.5026,1,116,0,1,0.027,3,1.0263,104.97,1,132436.48,0.1199,0,0,1,0,3,0.0189,0.0137,2,1,0
NCRB-SYNTH-100020,High Court,Writ Petition (Detention),2,4,2,0,1,1,0,0,1,1,1,1,0.4257,1,121,1,1,0.0648,3,1.1255,106.98,1,96644.75,0.0831,1,1,0,1,2,0.0624,0.0568,2,1,0
NCRB-SYNTH-100023,Trial Court,Writ Petition (Detention),1,4,1,0,1,1,1,1,1,1,1,1,0.591,0,82,0,1,0.1645,6,1.2875,117.89,1,26084.39,0.1842,0,0,1,0,1,0.0233,0.0336,2,1,0
NCRB-SYNTH-100037,Trial Court,Writ Petition (Detention),2,5,1,0,1,1,1,0,1,1,1,0,0.4569,1,17,1,1,0.103,4,1.0923,37.84,0,24158.32,0.0732,1,1,0,1,30,0.0872,0.0254,4,1,0
NCRB-SYNTH-100045,Trial Court,Writ Petition (Detention),1,1,1,0,1,1,0,1,1,1,1,1,0.5841,1,60,0,0,0.1553,6,1.1495,30.06,0,83895.55,0.0405,1,1,0,0,44,0.2927,0.0769,4,1,0
NCRB-SYNTH-100047,High Court,Writ Petition (Detention),1,1,1,0,1,1,0,1,1,1,1,0,0.4365,1,36,0,0,0.0231,3,1.3648,150.3,1,76529.55,0.0791,1,1,0,0,6,0.0518,0.0266,5,1,0
NCRB-SYNTH-100060,High Court,Writ Petition (Detention),2,4,2,0,1,1,1,1,1,1,1,0,0.4679,1,19,0,1,0.0906,3,1.1423,140.44,0,83347.88,0.0459,1,1,0,1,45,0.3037,0.0793,4,1,0
NCRB-SYNTH-100062,High Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,1,1,1,1,1,1,1,0.4503,0,155,0,0,0.0668,5,1.0,137.96,1,130665.89,0.0765,1,1,0,1,39,0.1473,0.0399,4,1,0
NCRB-SYNTH-100065,High Court,Sec 439 CrPC (Regular Bail),7,4,1,0,1,1,0,1,1,1,1,1,0.8198,1,157,0,0,0.051,7,1.0487,57.47,0,19232.26,0.0461,1,1,0,1,1,0.0243,0.035,2,1,1
NCRB-SYNTH-100083,Trial Court,Sec 439 CrPC (Regular Bail),1,5,2,0,1,1,1,1,1,1,1,1,0.8491,1,96,1,0,0.0846,5,1.3166,164.66,0,50781.24,0.1865,1,1,0,1,10,0.1202,0.0501,5,1,1
NCRB-SYNTH-100085,Trial Court,Sec 439 CrPC (Regular Bail),1,4,2,0,1,1,0,1,1,1,1,1,0.7526,0,58,1,1,0.0802,8,1.0811,174.28,0,68278.96,0.1747,1,1,0,1,4,0.0877,0.0545,2,1,1
NCRB-SYNTH-100086,High Court,Writ Petition (Detention),1,4,1,0,1,1,1,1,1,1,1,1,0.447,1,66,1,1,0.0453,8,1.1786,144.28,1,71462.18,0.0467,1,1,0,1,28,0.235,0.0698,4,1,0
NCRB-SYNTH-100103,High Court,Sec 439 CrPC (Regular Bail),2,1,1,0,1,1,1,0,1,1,1,0,0.6312,1,149,1,1,0.0592,6,1.2521,122.76,0,77948.56,0.1252,0,0,1,0,3,0.0656,0.0473,2,1,0
NCRB-SYNTH-100106,High Court,Writ Petition (Detention),7,5,2,0,1,1,0,1,1,1,1,0,0.8512,1,112,0,1,0.0494,7,1.1723,154.93,0,135594.37,0.0452,1,1,0,1,4,0.025,0.0155,2,1,1
