case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,cybercrime_indicator,financial_fraud_indicator,organized_operation_indicator,repeat_offender_indicator,social_engineering_indicator,ipc_420,ipc_468_471,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,fake_call_center_indicator,bulk_corporate_sim_indicator,forged_company_indicator,voip_calling_indicator,vishing_indicator,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,multiple_calling_numbers_indicator,it_act_66d,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,account_frozen_indicator,is_fund_transit_velocity_applicable,fund_transit_velocity_minutes,fraudulent_website_count,payment_gateway_count,linked_beneficiary_account_count,card_credential_harvesting_indicator,it_act_66c,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_high_risk_cyber_syndicate,label_public_order_vs_law_and_order,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100001,Trial Court,Sec 439 CrPC (Regular Bail),2,4,13,1,0,1,1,1,0,1,1,1,1,0.8321,1,82,1,0,1,1,0,1,1,0.6143,86,7.7795,281.69,1,1,1070507.84,0.1409,0,1,10.04,1,3,10,1,1,1,1,0,7,0.0682,0.0328,5,1,1,1,1
NCRB-SYNTH-100018,Trial Court,Sec 482 CrPC (Quashing),2,21,46,1,0,1,1,1,0,1,1,1,1,0.6518,1,24,0,0,1,1,1,0,1,0.7065,118,7.2941,207.69,1,1,3201309.35,0.0269,0,1,4.62,5,3,6,1,1,1,1,0,11,0.1631,0.0656,3,1,1,0,0
NCRB-SYNTH-100019,High Court,Sec 439 CrPC (Regular Bail),2,8,64,1,0,1,1,1,0,1,1,1,1,0.7236,1,74,1,1,1,1,0,1,1,0.6039,130,5.3189,120.63,1,1,2720106.08,0.1362,1,1,8.52,4,1,6,1,1,0,0,1,7,0.0722,0.0347,5,1,1,1,1
NCRB-SYNTH-100024,Trial Court,Sec 439 CrPC (Regular Bail),4,11,43,1,0,1,1,1,0,1,1,1,1,0.4882,1,43,1,1,1,1,1,0,1,0.5692,144,3.687,167.51,1,1,4440342.23,0.0435,0,1,5.88,1,1,9,1,1,1,1,0,6,0.1748,0.0898,5,1,1,1,0
NCRB-SYNTH-100025,Trial Court,Sec 439 CrPC (Regular Bail),1,8,95,1,0,1,1,1,1,1,1,1,1,0.5807,1,183,1,1,1,1,0,1,1,0.8216,145,6.375,282.81,1,1,658616.47,0.1059,0,1,16.49,1,1,6,1,1,1,1,0,9,0.1924,0.0836,5,1,1,0,0
NCRB-SYNTH-100028,High Court,Sec 439 CrPC (Regular Bail),2,10,97,1,0,1,1,1,1,1,1,1,1,0.967,1,24,1,1,1,1,1,1,1,0.847,56,4.6447,71.41,1,1,2153904.56,0.004,0,1,3.77,1,2,2,1,1,1,1,0,10,0.1674,0.0698,3,1,1,1,1
NCRB-SYNTH-100040,High Court,Trial Judgment,2,20,57,0,0,1,1,1,0,1,1,1,1,0.7284,1,24,1,1,1,1,1,1,1,0.7127,69,3.1054,125.1,1,1,2061515.69,0.1687,0,1,6.13,5,2,4,1,1,1,1,0,8,0.1542,0.0702,3,1,1,0,1
NCRB-SYNTH-100042,Trial Court,Sec 439 CrPC (Regular Bail),1,18,80,1,0,1,1,1,0,1,1,1,1,0.856,0,143,0,1,1,1,1,1,1,0.5695,140,6.9435,295.16,1,1,1181557.66,0.0552,1,1,16.88,5,2,5,0,1,1,1,0,5,0.1055,0.0589,5,1,1,0,0
NCRB-SYNTH-100048,Trial Court,Trial Judgment,1,17,12,1,0,1,1,1,0,1,1,1,1,0.5646,1,98,1,0,1,1,1,0,1,0.8672,115,7.2593,96.36,1,1,386682.92,0.1086,0,1,21.11,3,2,5,1,1,1,1,0,11,0.0842,0.0339,3,1,1,0,0
NCRB-SYNTH-100049,Trial Court,Sec 482 CrPC (Quashing),27,18,25,1,0,1,1,1,0,1,1,1,1,0.5354,0,80,1,1,1,1,1,1,1,0.6135,50,6.5728,292.93,1,1,668763.21,0.0852,1,1,4.74,3,3,7,1,1,1,1,0,6,0.2277,0.117,5,1,1,1,0
