case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,cybercrime_indicator,financial_fraud_indicator,organized_operation_indicator,repeat_offender_indicator,ipc_420,ipc_468_471,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,parallel_telephone_exchange_indicator,bulk_corporate_sim_indicator,forged_company_indicator,voip_calling_indicator,government_telecom_revenue_loss,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,multiple_calling_numbers_indicator,it_act_66d,telegraph_act_sections,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,reasonable_doubt_identity_gap,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_high_risk_cyber_syndicate,label_public_order_vs_law_and_order,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100004,High Court,Sec 482 CrPC (Quashing),2,6,55,1,0,1,1,1,0,1,1,1,0.5441,1,186,1,0,1,1,1,1,1,0.587,159,5.243,34.48,1,1,1,1812110.64,0.1835,1,3,0.7313,0.5275,1,1,1,1,0
NCRB-SYNTH-100009,Trial Court,Sec 482 CrPC (Quashing),1,25,26,1,0,1,1,1,0,1,1,1,0.4837,1,250,1,1,1,1,1,1,1,0.7217,235,7.6391,54.3,1,1,1,143800.88,0.1736,1,35,0.1885,0.0526,4,1,1,1,0
NCRB-SYNTH-100021,Supreme Court,Sec 439 CrPC (Regular Bail),1,4,24,1,0,1,1,1,1,1,1,1,0.3918,1,155,0,0,1,1,1,1,1,0.7717,176,10.7742,50.27,1,1,1,1428111.76,0.0844,1,2,0.6113,0.5564,1,1,1,1,0
NCRB-SYNTH-100029,High Court,Sec 439 CrPC (Regular Bail),1,3,43,1,0,1,1,1,0,1,1,1,0.7692,1,186,0,0,1,1,1,1,1,0.6351,333,11.1759,71.35,1,1,1,717152.3,0.1556,1,2,0.6337,0.5768,1,1,1,1,0
NCRB-SYNTH-100031,Supreme Court,Sec 439 CrPC (Regular Bail),1,18,17,1,1,1,1,1,0,1,1,1,0.7019,1,207,1,1,1,1,1,1,1,0.6891,428,10.381,45.99,1,1,1,622366.05,0.0067,1,33,0.0935,0.0265,4,1,1,1,1
NCRB-SYNTH-100039,High Court,Writ Petition (Detention),1,21,59,1,0,1,1,1,0,1,1,1,0.7635,1,268,1,1,1,1,1,1,1,0.6906,174,12.2912,73.46,1,1,1,2414127.91,0.1642,1,4,0.1175,0.073,3,1,1,1,1
NCRB-SYNTH-100046,High Court,Sec 439 CrPC (Regular Bail),27,3,20,1,0,1,1,1,0,1,1,1,0.4941,1,163,1,1,1,1,1,1,1,0.4797,148,3.7441,87.55,1,1,1,1540372.23,0.0256,1,1,0.5929,0.8553,1,1,1,1,0
NCRB-SYNTH-100055,High Court,Sec 439 CrPC (Regular Bail),1,8,51,1,0,1,1,1,0,1,1,1,0.5474,1,277,1,0,1,1,1,1,1,0.7708,193,5.7582,24.95,1,1,1,2255716.48,0.0118,1,8,0.1644,0.0748,3,1,1,1,0
NCRB-SYNTH-100082,Supreme Court,Writ Petition (Detention),7,10,52,1,0,1,1,1,0,1,1,1,0.8211,1,167,1,1,1,1,1,1,1,0.4922,451,9.1242,69.87,1,1,1,464912.91,0.1109,1,5,0.0658,0.0367,3,1,1,0,1
NCRB-SYNTH-100088,Trial Court,Sec 439 CrPC (Regular Bail),4,21,44,1,0,1,1,1,1,1,1,1,0.7359,1,132,1,1,1,1,1,1,1,0.4696,487,12.2046,75.79,1,1,1,929740.38,0.098,1,3,0.8952,0.6457,1,1,1,0,1
NCRB-SYNTH-100094,High Court,Sec 439 CrPC (Regular Bail),27,18,68,0,0,1,1,1,1,1,1,1,0.6188,1,281,1,0,1,1,1,1,1,0.8101,328,12.3007,26.3,1,1,1,782449.06,0.0668,1,20,0.2011,0.0661,4,1,1,1,0
NCRB-SYNTH-100102,High Court,Sec 482 CrPC (Quashing),7,5,21,1,0,1,1,1,0,1,1,1,0.8202,1,172,0,0,1,1,1,1,1,0.6103,486,6.7263,67.78,1,1,1,858233.31,0.0044,1,8,0.2059,0.0937,3,1,1,1,0
NCRB-SYNTH-100115,Supreme Court,Sec 439 CrPC (Regular Bail),1,18,21,1,0,1,1,1,0,1,1,1,0.7461,1,303,1,1,1,1,1,1,1,0.775,104,12.2939,70.2,1,1,1,1611692.64,0.0159,1,7,0.1004,0.0483,3,1,1,1,1
NCRB-SYNTH-100147,Supreme Court,Sec 439 CrPC (Regular Bail),1,5,37,1,0,1,1,1,0,1,1,1,0.8322,1,128,1,1,1,1,1,1,1,0.5066,381,9.6623,74.73,1,1,1,1199968.59,0.1395,1,10,0.1476,0.0615,3,1,1,0,1
NCRB-SYNTH-100157,High Court,Sec 439 CrPC (Regular Bail),1,4,55,1,1,1,1,1,0,1,1,1,0.438,1,231,1,1,1,1,1,1,1,0.6945,176,7.6331,82.01,1,1,1,611620.65,0.1857,1,22,0.2435,0.0777,4,1,1,1,0
NCRB-SYNTH-100162,High Court,Sec 439 CrPC (Regular Bail),4,6,49,1,0,1,1,1,0,1,1,1,0.8247,1,252,1,1,1,1,1,1,1,0.705,294,4.1297,63.89,1,1,1,1298948.08,0.1031,1,6,0.109,0.056,3,1,1,1,1
NCRB-SYNTH-100163,High Court,Sec 482 CrPC (Quashing),2,3,38,1,0,1,1,1,0,1,1,1,0.6208,1,171,1,1,1,1,1,1,1,0.7224,331,10.3759,35.56,1,1,1,1190046.83,0.1639,1,7,0.124,0.0596,3,1,1,1,0
NCRB-SYNTH-100170,Supreme Court,Sec 439 CrPC (Regular Bail),2,17,79,1,0,1,1,1,1,1,1,1,0.4364,1,185,1,1,1,1,1,1,1,0.7191,197,13.7944,66.33,1,1,1,1991471.94,0.181,1,11,0.2087,0.084,3,1,1,1,0
NCRB-SYNTH-100171,High Court,Sec 439 CrPC (Regular Bail),4,13,25,1,0,1,1,1,1,1,1,1,0.7802,1,268,0,0,1,1,1,1,1,0.5587,312,4.4733,44.9,1,1,1,1014110.4,0.0274,1,8,0.1246,0.0567,3,1,1,1,0
NCRB-SYNTH-100175,High Court,Trial Judgment,2,6,55,0,1,1,1,1,0,1,1,1,0.8098,1,218,0,1,1,1,1,1,1,0.693,311,12.9245,25.38,1,1,1,299846.43,0.0296,1,14,0.1772,0.0654,4,1,1,1,0
NCRB-SYNTH-100177,Supreme Court,Sec 482 CrPC (Quashing),21,24,74,1,1,1,1,1,1,1,1,1,0.5619,1,210,1,0,1,1,1,1,1,0.727,137,11.6322,53.62,1,1,1,1432995.07,0.0938,1,36,0.203,0.0562,4,1,1,1,0
NCRB-SYNTH-100186,High Court,Writ Petition (Detention),1,4,38,1,1,1,1,1,0,1,1,1,0.8645,1,148,1,0,1,1,1,1,1,0.607,331,9.7189,50.49,1,1,1,825586.47,0.0048,1,5,0.164,0.0916,3,1,1,1,1
NCRB-SYNTH-100188,High Court,Trial Judgment,2,5,61,1,0,1,1,1,0,1,1,1,0.5817,1,273,1,1,1,1,1,1,1,0.6689,437,10.3637,35.11,1,1,1,959624.64,0.1478,1,3,0.6313,0.4554,1,1,1,1,0
NCRB-SYNTH-100194,High Court,Sec 439 CrPC (Regular Bail),15,25,49,1,0,1,1,1,1,1,1,1,0.832,1,134,1,1,1,1,1,1,1,0.5988,164,6.0518,40.59,1,1,1,2487361.22,0.1886,1,9,0.1282,0.0557,3,1,1,1,1
NCRB-SYNTH-100201,Trial Court,Sec 439 CrPC (Regular Bail),1,4,15,1,0,1,1,1,1,1,1,1,0.4822,1,198,1,1,1,1,1,1,1,0.5496,406,8.0915,33.41,1,1,1,683604.99,0.0986,1,5,0.0967,0.054,3,1,1,1,0
NCRB-SYNTH-100205,High Court,Sec 482 CrPC (Quashing),4,15,36,1,0,1,1,1,0,1,1,1,0.5153,1,181,1,1,1,1,1,1,1,0.7025,121,4.6421,84.17,1,1,1,2308509.98,0.1097,1,30,0.0926,0.027,4,1,1,1,0
