case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,cybercrime_indicator,financial_fraud_indicator,organized_operation_indicator,repeat_offender_indicator,ipc_420,ipc_468_471,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,internet_banking_software_targeted,banking_password_compromised,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,account_frozen_indicator,suspicious_credit_not_reported,bank_correction_request_absent,is_fund_transit_velocity_applicable,fund_transit_velocity_minutes,fan_in_count,linked_beneficiary_account_count,it_act_66,it_act_66c,reasonable_doubt_identity_gap,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_high_risk_cyber_syndicate,label_public_order_vs_law_and_order,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100003,High Court,Sec 439 CrPC (Regular Bail),15,19,92,1,0,1,1,1,1,1,1,1,0.6268,1,37,0,1,0.1527,1,1.0363,134.71,1,1,8261066.53,0.2861,1,1,1,1,6.49,23,3,1,1,1,34,0.1513,0.0425,4,1,1,0,1
NCRB-SYNTH-100010,Trial Court,Sec 439 CrPC (Regular Bail),4,18,33,1,0,1,1,1,0,1,1,1,0.9049,1,58,0,1,0.0679,6,1.0,82.5,1,1,6171689.71,0.8338,1,1,1,1,1.01,20,4,1,1,1,13,0.271,0.1027,4,1,1,0,1
NCRB-SYNTH-100013,High Court,Trial Judgment,2,4,73,1,0,1,1,1,1,1,1,1,0.4062,1,62,0,0,0.0825,2,1.0,65.33,1,1,5395424.58,0.9242,1,1,1,1,5.33,14,11,1,1,1,6,0.0883,0.0454,3,1,1,0,0
NCRB-SYNTH-100026,Trial Court,Sec 439 CrPC (Regular Bail),7,8,76,1,0,1,1,1,1,1,1,1,0.4771,1,42,0,0,0.0682,1,1.0738,153.67,1,1,12104805.07,0.4738,1,1,1,1,14.79,8,7,1,1,1,21,0.289,0.0935,4,1,1,0,0
NCRB-SYNTH-100036,Trial Court,Sec 439 CrPC (Regular Bail),4,12,64,1,0,1,1,1,0,1,1,1,0.7976,1,31,1,1,0.08,9,1.2193,45.39,1,1,11571148.91,0.8233,1,1,1,1,6.65,9,4,1,1,1,12,0.1812,0.0706,4,1,1,0,1
NCRB-SYNTH-100052,High Court,Sec 439 CrPC (Regular Bail),4,13,60,1,0,1,1,1,0,1,1,1,0.7736,1,169,0,0,0.1055,1,1.1583,110.23,1,1,4150723.55,0.7537,1,1,1,1,18.8,23,7,1,1,1,23,0.2118,0.0666,4,1,1,1,1
NCRB-SYNTH-100063,High Court,Trial Judgment,2,18,51,1,0,1,1,1,1,1,1,1,0.397,0,133,1,1,0.0834,9,1.1867,36.09,1,1,3583897.48,0.4032,1,1,1,1,3.98,15,7,1,1,1,32,0.0943,0.027,4,1,1,1,0
NCRB-SYNTH-100068,High Court,Sec 439 CrPC (Regular Bail),7,10,5,1,0,1,1,1,0,1,1,1,0.436,1,57,0,0,0.1362,8,1.1431,121.74,1,1,6996705.85,0.6365,1,1,1,1,2.55,16,8,1,1,1,4,0.073,0.0454,3,1,1,0,0
NCRB-SYNTH-100071,Trial Court,Sec 439 CrPC (Regular Bail),4,25,59,1,0,1,1,1,1,1,1,1,0.8867,1,55,1,0,0.1011,2,1.1267,31.66,1,1,2331850.72,0.2495,1,1,1,1,11.55,20,4,1,1,1,9,0.1179,0.0512,3,1,1,0,1
NCRB-SYNTH-100074,High Court,Sec 439 CrPC (Regular Bail),2,21,35,1,0,1,1,1,1,1,1,1,0.5083,1,188,0,0,0.1117,2,1.1966,154.39,1,1,2344385.54,0.4829,1,1,1,1,3.43,8,13,1,1,1,22,0.2897,0.0924,4,1,1,0,0
NCRB-SYNTH-100075,Trial Court,Sec 439 CrPC (Regular Bail),27,21,84,0,0,1,1,1,0,1,1,1,0.5437,1,152,0,0,0.1401,6,1.2956,44.13,1,1,12450834.71,0.5978,1,1,1,1,1.96,17,9,1,1,1,24,0.198,0.0615,4,1,1,1,0
NCRB-SYNTH-100076,Trial Court,Sec 439 CrPC (Regular Bail),4,24,95,1,0,1,1,1,1,1,1,1,0.7843,0,79,1,1,0.0416,4,1.0,110.87,1,1,10844379.23,0.1717,1,1,1,1,4.82,16,11,1,1,1,17,0.16,0.0553,4,1,1,0,1
NCRB-SYNTH-100077,High Court,Sec 439 CrPC (Regular Bail),7,3,15,1,0,1,1,1,0,1,1,1,0.9657,1,175,0,0,0.0762,8,1.0888,81.6,1,1,4860687.09,0.9719,1,1,1,1,13.22,6,10,1,1,1,34,0.2595,0.073,4,1,1,0,1
NCRB-SYNTH-100087,Trial Court,Sec 439 CrPC (Regular Bail),7,15,64,0,0,1,1,1,0,1,1,1,0.8508,0,122,0,0,0.0534,4,1.205,54.24,1,1,13305136.83,0.7863,1,1,1,1,3.05,16,3,1,1,1,3,0.5149,0.3714,1,1,1,0,1
NCRB-SYNTH-100092,Trial Court,Sec 439 CrPC (Regular Bail),2,15,54,1,0,1,1,1,0,1,1,1,0.4959,1,41,1,1,0.0582,1,1.2245,43.46,1,1,6499571.03,0.9895,1,1,1,1,5.29,10,7,1,1,1,15,0.3036,0.1095,4,1,1,0,0
NCRB-SYNTH-100093,Trial Court,Sec 439 CrPC (Regular Bail),7,12,64,1,0,1,1,1,1,1,1,1,0.7957,1,181,1,1,0.0544,4,1.0502,153.51,1,1,2989294.26,0.3932,1,1,1,1,24.73,20,5,1,1,1,28,0.3159,0.0938,4,1,1,0,1
NCRB-SYNTH-100095,High Court,Sec 439 CrPC (Regular Bail),2,11,92,1,0,1,1,1,0,1,1,1,0.8427,1,90,0,0,0.0,7,1.1363,120.32,1,1,11305188.96,0.6319,1,1,1,1,2.15,25,3,1,1,1,1,0.6144,0.8864,1,1,1,0,1
NCRB-SYNTH-100108,High Court,Sec 439 CrPC (Regular Bail),7,4,34,1,0,1,1,1,0,1,1,1,0.5339,1,78,1,1,0.0899,7,1.0231,90.72,1,1,7058060.0,0.9447,1,1,1,1,3.5,21,9,1,1,1,13,0.1303,0.0494,4,1,1,0,0
NCRB-SYNTH-100114,Trial Court,Sec 482 CrPC (Quashing),7,6,71,1,0,1,1,1,1,1,1,1,0.618,1,122,1,1,0.0,2,1.142,129.87,1,1,2981674.1,0.4532,1,1,1,1,27.11,8,8,1,1,1,15,0.2708,0.0977,4,1,1,0,1
NCRB-SYNTH-100117,Trial Court,Sec 482 CrPC (Quashing),2,10,72,1,0,1,1,1,0,1,1,1,0.7498,1,176,1,1,0.0942,8,1.0,152.23,1,1,1134442.76,0.5274,1,1,1,1,2.66,22,3,1,1,1,25,0.2745,0.0842,4,1,1,0,1
NCRB-SYNTH-100121,High Court,Writ Petition (Detention),4,18,81,1,0,1,1,1,0,1,1,1,0.5115,1,90,1,1,0.024,1,1.0622,79.19,1,1,7659619.21,0.6999,1,1,1,1,9.21,17,15,1,1,1,23,0.3015,0.0949,4,1,1,0,0
NCRB-SYNTH-100127,High Court,Writ Petition (Detention),7,24,18,1,0,1,1,1,0,1,1,1,0.5637,1,59,1,0,0.0519,1,1.0284,43.74,1,1,5035991.88,0.7368,1,1,1,1,8.85,19,5,1,1,1,8,0.1322,0.0602,3,1,1,0,0
NCRB-SYNTH-100138,High Court,Sec 482 CrPC (Quashing),4,21,26,1,0,1,1,1,1,1,1,1,0.7323,1,165,0,0,0.0874,2,1.0903,157.79,1,1,7214664.3,0.3639,1,1,1,1,6.22,14,3,1,1,1,18,0.1559,0.053,4,1,1,0,1
NCRB-SYNTH-100158,High Court,Sec 439 CrPC (Regular Bail),7,5,25,1,1,1,1,1,0,1,1,1,0.4928,1,130,0,0,0.0948,6,1.0936,149.3,1,1,5044667.49,0.2611,1,1,1,1,15.8,15,4,1,1,1,1,0.6671,0.9624,1,1,1,0,0
NCRB-SYNTH-100160,High Court,Trial Judgment,2,4,93,1,0,1,1,1,1,1,1,1,0.5634,1,167,1,1,0.0897,3,1.0622,150.57,1,1,5527611.46,0.7377,1,1,1,1,7.2,16,14,1,1,1,44,0.1058,0.0278,4,1,1,0,0
NCRB-SYNTH-100166,High Court,Sec 439 CrPC (Regular Bail),7,18,36,1,0,1,1,1,1,1,1,1,0.3647,1,131,1,1,0.0473,5,1.0832,34.98,1,1,13286869.43,0.479,1,1,1,1,10.21,8,10,1,1,1,1,0.6996,1.0093,1,1,1,0,0
NCRB-SYNTH-100187,High Court,Sec 439 CrPC (Regular Bail),2,12,77,1,0,1,1,1,1,1,1,1,0.7338,1,108,1,1,0.0823,4,1.0088,158.87,1,1,12620543.87,0.337,1,1,1,1,5.51,5,12,1,1,1,1,0.4482,0.6466,1,1,1,0,1
